pais,codigo_pais,anio,gasto_educacion_pib,tasa_alfabetizacion_adultos,tasa_finalizacion_primaria,tasa_finalizacion_secundaria
Uruguay,URY,2005,2.71475,,,
Uruguay,URY,2006,2.88026,97.78963,,
Uruguay,URY,2007,,97.86389,,
Uruguay,URY,2008,,98.16356,94.85,65.9
Uruguay,URY,2009,,98.26723,96.34,65.89
Uruguay,URY,2010,,98.07271,96.17,63.57
Uruguay,URY,2011,4.35527,98.3359,97.0,64.7
Uruguay,URY,2012,,98.39594,96.95,65.71
Uruguay,URY,2013,,98.36387,96.99595,63.2034
Uruguay,URY,2014,,98.43593,97.3,67.21
Uruguay,URY,2015,,98.52387,97.28,68.65
Uruguay,URY,2016,4.7591,98.56147,97.94,69.65
Uruguay,URY,2017,4.8403,98.61572,98.01,72.44
Uruguay,URY,2018,5.04759,98.70386,97.6,73.21
Viet Nam,VNM,2000,,90.15613,85.71,51.31
Viet Nam,VNM,2002,,,89.05,63.45
Viet Nam,VNM,2006,,,95.03,79.28
Viet Nam,VNM,2008,4.88674,,,
Viet Nam,VNM,2009,4.8165,93.52045,95.59169,77.66713
Viet Nam,VNM,2010,5.13722,,,
Viet Nam,VNM,2011,4.81372,,95.5281,80.54251
Viet Nam,VNM,2012,5.53329,,,
Viet Nam,VNM,2013,5.652,,,
Viet Nam,VNM,2014,,,96.57267,83.43417
Viet Nam,VNM,2016,4.34481,,,
Viet Nam,VNM,2018,4.16745,95.00038,,
