pais,codigo_pais,anio,indicador,valor
Viet Nam,VNM,2002,tasa_finalizacion_primaria,89.05
Viet Nam,VNM,2002,tasa_finalizacion_secundaria,63.45
Viet Nam,VNM,2002,tasa_alfabetizacion_adultos,
United States,USA,2002,gasto_educacion_pib,
United States,USA,2002,tasa_finalizacion_primaria,
United States,USA,2002,tasa_finalizacion_secundaria,
United States,USA,2002,tasa_alfabetizacion_adultos,
Uruguay,URY,2002,gasto_educacion_pib,2.3222
Uruguay,URY,2002,tasa_finalizacion_primaria,
Uruguay,URY,2002,tasa_finalizacion_secundaria,
Uruguay,URY,2002,tasa_alfabetizacion_adultos,
Argentina,ARG,2003,gasto_educacion_pib,3.53505
Argentina,ARG,2003,tasa_finalizacion_primaria,
Argentina,ARG,2003,tasa_finalizacion_secundaria,
Argentina,ARG,2003,tasa_alfabetizacion_adultos,
Brazil,BRA,2003,gasto_educacion_pib,
Brazil,BRA,2003,tasa_finalizacion_primaria,92.26
Brazil,BRA,2003,tasa_finalizacion_secundaria,72.88
Brazil,BRA,2003,tasa_alfabetizacion_adultos,
Chile,CHL,2003,gasto_educacion_pib,3.96346
Chile,CHL,2003,tasa_finalizacion_primaria,96.42
Chile,CHL,2003,tasa_finalizacion_secundaria,93.98
Chile,CHL,2003,tasa_alfabetizacion_adultos,
Costa Rica,CRI,2003,gasto_educacion_pib,5.15636
Costa Rica,CRI,2003,tasa_finalizacion_primaria,87.58
Costa Rica,CRI,2003,tasa_finalizacion_secundaria,50.29
Costa Rica,CRI,2003,tasa_alfabetizacion_adultos,
"Korea, Rep.",KOR,2003,gasto_educacion_pib,
"Korea, Rep.",KOR,2003,tasa_finalizacion_primaria,
"Korea, Rep.",KOR,2003,tasa_finalizacion_secundaria,
"Korea, Rep.",KOR,2003,tasa_alfabetizacion_adultos,
Mexico,MEX,2003,gasto_educacion_pib,5.07258
Mexico,MEX,2003,tasa_finalizacion_primaria,
Mexico,MEX,2003,tasa_finalizacion_secundaria,
Mexico,MEX,2003,tasa_alfabetizacion_adultos,
Spain,ESP,2003,gasto_educacion_pib,4.17343
Spain,ESP,2003,tasa_finalizacion_primaria,
Spain,ESP,2003,tasa_finalizacion_secundaria,
Spain,ESP,2003,tasa_alfabetizacion_adultos,
Viet Nam,VNM,2003,gasto_educacion_pib,
Viet Nam,VNM,2003,tasa_finalizacion_primaria,
Viet Nam,VNM,2003,tasa_finalizacion_secundaria,
Viet Nam,VNM,2003,tasa_alfabetizacion_adultos,
United States,USA,2003,gasto_educacion_pib,
United States,USA,2003,tasa_finalizacion_primaria,
United States,USA,2003,tasa_finalizacion_secundaria,
United States,USA,2003,tasa_alfabetizacion_adultos,
Uruguay,URY,2003,gasto_educacion_pib,2.06821
Uruguay,URY,2003,tasa_finalizacion_primaria,
Uruguay,URY,2003,tasa_finalizacion_secundaria,
Uruguay,URY,2003,tasa_alfabetizacion_adultos,
Argentina,ARG,2004,gasto_educacion_pib,3.48652
Argentina,ARG,2004,tasa_finalizacion_primaria,
Argentina,ARG,2004,tasa_finalizacion_secundaria,
Argentina,ARG,2004,tasa_alfabetizacion_adultos,
Brazil,BRA,2004,gasto_educacion_pib,3.97448
Brazil,BRA,2004,tasa_finalizacion_primaria,92.79
Brazil,BRA,2004,tasa_finalizacion_secundaria,74.51
Brazil,BRA,2004,tasa_alfabetizacion_adultos,88.61624
Chile,CHL,2004,gasto_educacion_pib,3.53839
Chile,CHL,2004,tasa_finalizacion_primaria,
Chile,CHL,2004,tasa_finalizacion_secundaria,
Chile,CHL,2004,tasa_alfabetizacion_adultos,
Costa Rica,CRI,2004,gasto_educacion_pib,4.91218
Costa Rica,CRI,2004,tasa_finalizacion_primaria,89.7
Costa Rica,CRI,2004,tasa_finalizacion_secundaria,51.47
Costa Rica,CRI,2004,tasa_alfabetizacion_adultos,
"Korea, Rep.",KOR,2004,gasto_educacion_pib,
"Korea, Rep.",KOR,2004,tasa_finalizacion_primaria,
